Name,Price,1h %,24h %,7d %,Market Cap,Circulating Supply,Timestamp,Volume(24h)_USD,Volume(24h)_Currency
Bitcoin,60213.81,0.49,1.14,4.35,1.18873E+12,19737678,49:13.3,38379511037,637251
Ethereum,2591.08,0.24,0.31,14.08,3.11586E+11,120263205,49:13.3,20259234203,7819478
BNB,505.64,0.39,0.14,9.16,73790673752,145936665,49:13.3,1636525039,3236574
Bitcoin,60223.04,0.47,1.14,4.29,1.18848E+12,19737678,49:23.3,38386078287,637496
Ethereum,2587.9,0.36,0.15,14.24,3.11611E+11,120263205,49:23.3,20261267791,7819626
BNB,505.39,0.34,0.12,9.25,73768814796,145936665,49:23.3,1635947463,3236391
Bitcoin,60223.04,0.47,1.14,4.29,1.18848E+12,19737678,49:25.3,38386078287,637496
Ethereum,2587.9,0.36,0.15,14.24,3.11611E+11,120263205,49:25.3,20261267791,7819626
BNB,505.39,0.34,0.12,9.25,73768814796,145936665,49:25.3,1635947463,3236391
Bitcoin,60223.04,0.47,1.14,4.29,1.18848E+12,19737678,49:34.0,38386078287,637496
Ethereum,2587.9,0.36,0.15,14.24,3.11611E+11,120263205,49:34.0,20261267791,7819626
BNB,505.39,0.34,0.12,9.25,73768814796,145936665,49:34.0,1635947463,3236391
Bitcoin,60223.04,0.47,1.14,4.29,1.18848E+12,19737678,49:36.8,38386078287,637496
Ethereum,2587.9,0.36,0.15,14.24,3.11611E+11,120263205,49:36.8,20261267791,7819626
BNB,505.39,0.34,0.12,9.25,73768814796,145936665,49:36.8,1635947463,3236391
Bitcoin,60223.04,0.47,1.14,4.29,1.18848E+12,19737678,49:45.6,38386078287,637496
Ethereum,2587.9,0.36,0.15,14.24,3.11611E+11,120263205,49:45.6,20261267791,7819626
BNB,505.39,0.34,0.12,9.25,73768814796,145936665,49:45.6,1635947463,3236391
Bitcoin,60223.04,0.47,1.14,4.29,1.18848E+12,19737678,49:48.4,38386078287,637496
Ethereum,2587.9,0.36,0.15,14.24,3.11611E+11,120263205,49:48.4,20261267791,7819626
BNB,505.39,0.34,0.12,9.25,73768814796,145936665,49:48.4,1635947463,3236391
Bitcoin,60223.04,0.47,1.14,4.29,1.18848E+12,19737678,49:57.3,38386078287,637496
Ethereum,2587.9,0.36,0.15,14.24,3.11611E+11,120263205,49:57.3,20261267791,7819626
BNB,505.39,0.34,0.12,9.25,73768814796,145936665,49:57.3,1635947463,3236391
Bitcoin,60223.04,0.47,1.14,4.29,1.18848E+12,19737678,50:00.0,38386078287,637496
Ethereum,2587.9,0.36,0.15,14.24,3.11611E+11,120263205,50:00.0,20261267791,7819626
BNB,505.39,0.34,0.12,9.25,73768814796,145936665,50:00.0,1635947463,3236391
Bitcoin,60223.04,0.47,1.14,4.29,1.18848E+12,19737678,50:08.7,38386078287,637496
